transaction_id,user_id,user_spending_profile,user_bank_preference,platform,category,transaction_amount_inr,payment_method,bank,card_network,cashback_percentage,max_cashback_inr,min_transaction_inr,offer_applicable,actual_cashback_inr,effective_savings_pct,offer_valid_days,offer_start_date,offer_end_date,offer_description,offer_rank_score
TXN100010,9331BB92,High Spender,ICICI,Blinkit,Grocery,1917.15,Net Banking,HDFC,N/A,3,250,1499,True,57.51,2.9998,14,2024-01-30,2024-02-13,Exclusive HDFC offer: 3% instant discount on Blinkit via Net Banking. Max savings Rs.250. Min purchase Rs.1499.,3.4998
TXN100011,64C832EB,Frequent Buyer,HDFC,Flipkart,Sports,8252.22,Wallet,SBI,N/A,5,500,499,True,412.61,5.0,30,2024-09-27,2024-10-27,Flat 5% discount on Flipkart order via SBI Wallet. Max benefit Rs.500. Min order Rs.499.,5.5
TXN100012,10AF63F2,Moderate Spender,Kotak,Zomato,Food Delivery,688.64,UPI,PNB,N/A,15,75,999,False,0.0,0.0,14,2024-02-02,2024-02-16,PNB UPI users get 15% back on Zomato purchases in Food Delivery. Offer capped at Rs.75 min spend Rs.999.,0.0
TXN100013,F18D9261,Frequent Buyer,Kotak,Zomato,Food Delivery,159.71,Credit Card,Axis,Visa,2,250,299,False,0.0,0.0,90,2024-05-01,2024-07-30,Save up to Rs.250 with 2% cashback on Food Delivery using Axis Credit Card. Minimum cart value Rs.299.,0.0
TXN100014,BAACB6CE,Occasional Buyer,ICICI,Blinkit,Grocery,2253.05,Wallet,Paytm,N/A,15,150,4999,False,0.0,0.0,60,2024-04-07,2024-06-06,Get flat 15% off with Paytm Wallet on Blinkit. Maximum discount Rs.150. Valid on orders above Rs.4999.,0.0
TXN100015,074FDCC5,Occasional Buyer,SBI,Myntra,Beauty,2495.02,Credit Card,PhonePe,Visa,2,300,1999,True,49.9,2.0,7,2024-05-07,2024-05-14,Exclusive PhonePe offer: 2% instant discount on Myntra via Credit Card. Max savings Rs.300. Min purchase Rs.1999.,2.5
TXN100016,07655BC3,Frequent Buyer,Axis,Swiggy,Food Delivery,397.71,Net Banking,Axis,N/A,3,500,299,True,11.93,2.9997,7,2024-11-29,2024-12-06,3% cashback up to Rs.500 on Food Delivery purchases using Axis Net Banking. Min transaction Rs.299.,3.4997
TXN100017,7AA29ED5,Low Spender,ICICI,Swiggy,Food Delivery,805.62,Debit Card,Yes Bank,Visa,5,300,199,True,40.28,4.9999,60,2024-05-15,2024-07-14,5% cashback for Yes Bank Visa cardholders on Food Delivery items at Swiggy. Cap Rs.300 Threshold Rs.199.,5.4999
TXN100018,62B9F783,Occasional Buyer,No Preference,Blinkit,Grocery,717.95,UPI,Axis,N/A,2,1000,199,True,14.36,2.0001,30,2024-01-30,2024-02-29,2% cashback up to Rs.1000 on Grocery purchases using Axis UPI. Min transaction Rs.199.,2.5001
TXN100019,19C81994,Occasional Buyer,Kotak,Blinkit,Grocery,453.57,Wallet,ICICI,N/A,5,75,299,True,22.68,5.0003,14,2024-07-25,2024-08-08,Get flat 5% off with ICICI Wallet on Blinkit. Maximum discount Rs.75. Valid on orders above Rs.299.,5.5003
TXN100020,CC8CF8E6,Frequent Buyer,ICICI,IRCTC,Travel,31730.31,Net Banking,PhonePe,N/A,10,200,999,True,200.0,0.6303,30,2024-05-02,2024-06-01,Save up to Rs.200 with 10% cashback on Travel using PhonePe Net Banking. Minimum cart value Rs.999.,1.1303
TXN100021,8B201859,Moderate Spender,No Preference,BigBasket,Grocery,1153.68,Credit Card,HDFC,Amex,3,75,999,True,34.61,3.0,90,2024-05-15,2024-08-13,Use your HDFC Amex card and earn 3% cashback capped at Rs.75. Applicable on Grocery orders over Rs.999.,3.5
TXN100022,7935B566,High Spender,HDFC,Zomato,Food Delivery,534.73,Net Banking,BOB,N/A,8,1000,199,True,42.78,8.0003,90,2024-06-02,2024-08-31,Get flat 8% off with BOB Net Banking on Zomato. Maximum discount Rs.1000. Valid on orders above Rs.199.,8.5003
TXN100023,EEC199E3,Moderate Spender,SBI,Flipkart,Electronics,60681.25,Debit Card,Kotak,RuPay,7,250,999,True,250.0,0.412,30,2024-09-15,2024-10-15,7% cashback for Kotak RuPay cardholders on Electronics items at Flipkart. Cap Rs.250 Threshold Rs.999.,0.912
TXN100024,E9D65AEC,Low Spender,HDFC,Myntra,Beauty,507.21,UPI,SBI,N/A,8,100,4999,False,0.0,0.0,90,2024-12-27,2025-03-27,Flat 8% discount on Myntra order via SBI UPI. Max benefit Rs.100. Min order Rs.4999.,0.0
TXN100025,E6615863,Low Spender,HDFC,Flipkart,Fashion,4591.93,UPI,Paytm,N/A,5,300,499,True,229.6,5.0001,7,2024-06-06,2024-06-13,Paytm UPI users get 5% back on Flipkart purchases in Fashion. Offer capped at Rs.300 min spend Rs.499.,5.5001
TXN100026,CD3ACC64,Low Spender,SBI,Zomato,Food Delivery,1050.36,UPI,BOB,N/A,12,1000,499,True,126.04,11.9997,14,2024-03-24,2024-04-07,Use your BOB N/A card and earn 12% cashback capped at Rs.1000. Applicable on Food Delivery orders over Rs.499.,12.4997
TXN100027,3C86C817,Occasional Buyer,HDFC,Swiggy,Food Delivery,1206.22,Net Banking,PhonePe,N/A,7,200,499,True,84.44,7.0004,7,2024-07-14,2024-07-21,7% cashback up to Rs.200 on Food Delivery purchases using PhonePe Net Banking. Min transaction Rs.499.,7.5004
TXN100028,62DFA45E,Occasional Buyer,ICICI,Zomato,Food Delivery,622.04,Debit Card,Axis,Visa,7,300,1999,False,0.0,0.0,30,2024-02-05,2024-03-06,Save up to Rs.300 with 7% cashback on Food Delivery using Axis Debit Card. Minimum cart value Rs.1999.,0.0
TXN100029,CE4C4B27,Frequent Buyer,Axis,Blinkit,Grocery,2835.94,Credit Card,Kotak,Mastercard,8,50,299,True,50.0,1.7631,90,2024-08-10,2024-11-08,Kotak Credit Card users get 8% back on Blinkit purchases in Grocery. Offer capped at Rs.50 min spend Rs.299.,2.2631
TXN100030,C16DC7F3,High Spender,Axis,IRCTC,Travel,20489.38,Wallet,Axis,N/A,8,50,2999,True,50.0,0.244,7,2024-09-23,2024-09-30,Exclusive Axis offer: 8% instant discount on IRCTC via Wallet. Max savings Rs.50. Min purchase Rs.2999.,0.744
TXN100031,B3801376,Occasional Buyer,HDFC,MakeMyTrip,Travel,33842.6,Credit Card,GPay,RuPay,8,300,1999,True,300.0,0.8865,60,2024-12-22,2025-02-20,Save up to Rs.300 with 8% cashback on Travel using GPay Credit Card. Minimum cart value Rs.1999.,1.3865
TXN100032,826C42EC,Moderate Spender,ICICI,Myntra,Beauty,3483.39,Debit Card,Paytm,RuPay,12,750,199,True,418.01,12.0001,30,2024-05-26,2024-06-25,Exclusive Paytm offer: 12% instant discount on Myntra via Debit Card. Max savings Rs.750. Min purchase Rs.199.,12.5001
TXN100033,0D7886DC,Frequent Buyer,Kotak,MakeMyTrip,Travel,23205.73,Debit Card,BOB,Amex,5,75,1499,True,75.0,0.3232,90,2024-12-05,2025-03-05,BOB Debit Card users get 5% back on MakeMyTrip purchases in Travel. Offer capped at Rs.75 min spend Rs.1499.,0.8232
TXN100034,A5594213,Moderate Spender,No Preference,BigBasket,Grocery,2477.72,Debit Card,HDFC,Visa,7,500,299,True,173.44,7.0,60,2024-07-31,2024-09-29,Exclusive HDFC offer: 7% instant discount on BigBasket via Debit Card. Max savings Rs.500. Min purchase Rs.299.,7.5
TXN100035,C8965D13,Occasional Buyer,Axis,Myntra,Fashion,1606.79,Credit Card,ICICI,Amex,7,100,4999,False,0.0,0.0,7,2024-10-12,2024-10-19,Exclusive ICICI offer: 7% instant discount on Myntra via Credit Card. Max savings Rs.100. Min purchase Rs.4999.,0.0
TXN100036,BC1CE6B0,Low Spender,Axis,Swiggy,Food Delivery,1051.23,Wallet,Paytm,N/A,10,500,2999,False,0.0,0.0,90,2024-08-16,2024-11-14,Use your Paytm N/A card and earn 10% cashback capped at Rs.500. Applicable on Food Delivery orders over Rs.2999.,0.0
TXN100037,8DABDD26,Occasional Buyer,Axis,BigBasket,Grocery,2567.63,UPI,BOB,N/A,15,150,1499,True,150.0,5.842,60,2024-02-09,2024-04-09,Save up to Rs.150 with 15% cashback on Grocery using BOB UPI. Minimum cart value Rs.1499.,6.342
TXN100038,4157A871,High Spender,SBI,MakeMyTrip,Travel,8641.95,Debit Card,Yes Bank,Mastercard,7,75,2999,True,75.0,0.8679,60,2024-06-18,2024-08-17,7% cashback for Yes Bank Mastercard cardholders on Travel items at MakeMyTrip. Cap Rs.75 Threshold Rs.2999.,1.3679
TXN100039,0247751A,Low Spender,ICICI,Myntra,Beauty,4552.74,Wallet,GPay,N/A,2,1000,2999,True,91.05,1.9999,60,2024-01-04,2024-03-04,GPay Wallet users get 2% back on Myntra purchases in Beauty. Offer capped at Rs.1000 min spend Rs.2999.,2.4999
TXN100040,06132E43,Occasional Buyer,Axis,Blinkit,Grocery,1618.22,UPI,Yes Bank,N/A,15,50,2999,False,0.0,0.0,30,2024-12-08,2025-01-07,Flat 15% discount on Blinkit order via Yes Bank UPI. Max benefit Rs.50. Min order Rs.2999.,0.0
TXN100041,1BE05A69,Moderate Spender,Axis,Swiggy,Food Delivery,1374.35,Wallet,Paytm,N/A,2,75,2999,False,0.0,0.0,14,2024-08-24,2024-09-07,Use your Paytm N/A card and earn 2% cashback capped at Rs.75. Applicable on Food Delivery orders over Rs.2999.,0.0
TXN100042,1D191FA3,High Spender,Axis,MakeMyTrip,Travel,23825.57,UPI,Yes Bank,N/A,8,300,1499,True,300.0,1.2592,7,2024-08-28,2024-09-04,8% cashback up to Rs.300 on Travel purchases using Yes Bank UPI. Min transaction Rs.1499.,1.7592
TXN100043,F7CA300C,Frequent Buyer,HDFC,MakeMyTrip,Travel,33206.92,Credit Card,HDFC,Mastercard,7,50,499,True,50.0,0.1506,14,2024-03-05,2024-03-19,7% cashback for HDFC Mastercard cardholders on Travel items at MakeMyTrip. Cap Rs.50 Threshold Rs.499.,0.6506
TXN100044,BAACB6CE,Low Spender,Kotak,Zomato,Food Delivery,1094.28,UPI,SBI,N/A,3,100,1499,False,0.0,0.0,7,2024-10-23,2024-10-30,3% cashback up to Rs.100 on Food Delivery purchases using SBI UPI. Min transaction Rs.1499.,0.0
TXN100045,6C53A07D,High Spender,Kotak,Myntra,Beauty,4724.91,Debit Card,ICICI,Mastercard,3,200,299,True,141.75,3.0001,90,2024-01-22,2024-04-21,ICICI Debit Card users get 3% back on Myntra purchases in Beauty. Offer capped at Rs.200 min spend Rs.299.,3.5001
TXN100046,D2C1B8F9,Occasional Buyer,No Preference,MakeMyTrip,Travel,26286.12,UPI,HDFC,N/A,12,500,299,True,500.0,1.9021,60,2024-07-04,2024-09-02,12% cashback for HDFC N/A cardholders on Travel items at MakeMyTrip. Cap Rs.500 Threshold Rs.299.,2.4021
TXN100047,FC8A10C0,Moderate Spender,Axis,Swiggy,Food Delivery,981.48,Wallet,PNB,N/A,15,300,1499,False,0.0,0.0,30,2024-05-05,2024-06-04,Get flat 15% off with PNB Wallet on Swiggy. Maximum discount Rs.300. Valid on orders above Rs.1499.,0.0
TXN100048,D96BAD55,Occasional Buyer,ICICI,Nykaa,Beauty,1881.06,Net Banking,IDFC,N/A,5,500,999,True,94.05,4.9998,30,2024-05-12,2024-06-11,IDFC Net Banking users get 5% back on Nykaa purchases in Beauty. Offer capped at Rs.500 min spend Rs.999.,5.4998
TXN100049,08D735FE,Frequent Buyer,No Preference,BigBasket,Grocery,1694.89,Debit Card,ICICI,Mastercard,12,500,999,True,203.39,12.0002,60,2024-11-26,2025-01-25,12% cashback for ICICI Mastercard cardholders on Grocery items at BigBasket. Cap Rs.500 Threshold Rs.999.,12.5002
TXN100050,64AE6C32,Low Spender,HDFC,BigBasket,Grocery,1391.88,Debit Card,Kotak,RuPay,15,750,1999,False,0.0,0.0,60,2024-10-08,2024-12-07,Kotak Debit Card users get 15% back on BigBasket purchases in Grocery. Offer capped at Rs.750 min spend Rs.1999.,0.0
TXN100051,1C32A6F6,Occasional Buyer,SBI,BigBasket,Grocery,922.45,Debit Card,IDFC,Visa,5,150,999,False,0.0,0.0,60,2024-05-21,2024-07-20,Save up to Rs.150 with 5% cashback on Grocery using IDFC Debit Card. Minimum cart value Rs.999.,0.0
TXN100052,96DB0A43,Moderate Spender,SBI,Zomato,Food Delivery,392.25,Credit Card,GPay,Mastercard,8,50,199,True,31.38,8.0,90,2024-05-29,2024-08-27,Use your GPay Mastercard card and earn 8% cashback capped at Rs.50. Applicable on Food Delivery orders over Rs.199.,8.5
TXN100053,EDBCDC66,Occasional Buyer,HDFC,Amazon,Home & Kitchen,9653.24,Net Banking,IDFC,N/A,5,50,1499,True,50.0,0.518,60,2024-02-28,2024-04-28,Get flat 5% off with IDFC Net Banking on Amazon. Maximum discount Rs.50. Valid on orders above Rs.1499.,1.018
TXN100054,71DFC8EF,Occasional Buyer,HDFC,IRCTC,Travel,9282.9,Wallet,Kotak,N/A,3,150,299,True,150.0,1.6159,90,2024-08-01,2024-10-30,Exclusive Kotak offer: 3% instant discount on IRCTC via Wallet. Max savings Rs.150. Min purchase Rs.299.,2.1159
TXN100055,3F9AFCA7,Frequent Buyer,Axis,Nykaa,Beauty,1697.56,Wallet,Yes Bank,N/A,8,1000,199,True,135.8,7.9997,90,2024-02-20,2024-05-20,Exclusive Yes Bank offer: 8% instant discount on Nykaa via Wallet. Max savings Rs.1000. Min purchase Rs.199.,8.4997
TXN100056,12D4FCB8,Moderate Spender,SBI,Flipkart,Fashion,2298.99,Wallet,ICICI,N/A,5,50,2999,False,0.0,0.0,60,2024-12-18,2025-02-16,5% cashback for ICICI N/A cardholders on Fashion items at Flipkart. Cap Rs.50 Threshold Rs.2999.,0.0
TXN100057,1AFC09FF,Low Spender,ICICI,BigBasket,Grocery,2198.07,Net Banking,ICICI,N/A,7,200,999,True,153.86,6.9998,60,2024-02-28,2024-04-28,Exclusive ICICI offer: 7% instant discount on BigBasket via Net Banking. Max savings Rs.200. Min purchase Rs.999.,7.4998
TXN100058,2A3B7830,Moderate Spender,SBI,Swiggy,Food Delivery,230.51,UPI,Paytm,N/A,8,500,299,False,0.0,0.0,60,2024-12-18,2025-02-16,Save up to Rs.500 with 8% cashback on Food Delivery using Paytm UPI. Minimum cart value Rs.299.,0.0
TXN100059,94F8729B,Occasional Buyer,SBI,Blinkit,Grocery,1481.95,Wallet,HDFC,N/A,12,250,1499,False,0.0,0.0,7,2024-02-16,2024-02-23,Exclusive HDFC offer: 12% instant discount on Blinkit via Wallet. Max savings Rs.250. Min purchase Rs.1499.,0.0
TXN100060,0746BA9C,Frequent Buyer,Kotak,Amazon,Home & Kitchen,11736.82,Debit Card,PNB,Amex,8,100,2999,True,100.0,0.852,60,2024-02-16,2024-04-16,8% cashback for PNB Amex cardholders on Home & Kitchen items at Amazon. Cap Rs.100 Threshold Rs.2999.,1.352
TXN100061,423CE2FE,Occasional Buyer,SBI,MakeMyTrip,Travel,43171.19,UPI,Yes Bank,N/A,15,200,2999,True,200.0,0.4633,90,2024-01-19,2024-04-18,15% cashback for Yes Bank N/A cardholders on Travel items at MakeMyTrip. Cap Rs.200 Threshold Rs.2999.,0.9633
TXN100062,01406620,High Spender,SBI,MakeMyTrip,Travel,48568.87,Net Banking,BOB,N/A,2,750,4999,True,750.0,1.5442,60,2024-01-28,2024-03-28,Exclusive BOB offer: 2% instant discount on MakeMyTrip via Net Banking. Max savings Rs.750. Min purchase Rs.4999.,2.0442
TXN100063,7BA0C877,High Spender,Kotak,Nykaa,Beauty,3871.96,Debit Card,Kotak,Mastercard,8,500,4999,False,0.0,0.0,7,2024-01-15,2024-01-22,Exclusive Kotak offer: 8% instant discount on Nykaa via Debit Card. Max savings Rs.500. Min purchase Rs.4999.,0.0
TXN100064,557FEF9B,Moderate Spender,SBI,Blinkit,Grocery,1791.08,Credit Card,Axis,Visa,15,75,499,True,75.0,4.1874,60,2024-05-29,2024-07-28,Save up to Rs.75 with 15% cashback on Grocery using Axis Credit Card. Minimum cart value Rs.499.,4.6874
TXN100065,0247751A,Occasional Buyer,Axis,Zomato,Food Delivery,894.21,Net Banking,Axis,N/A,5,75,1499,False,0.0,0.0,60,2024-06-23,2024-08-22,Save up to Rs.75 with 5% cashback on Food Delivery using Axis Net Banking. Minimum cart value Rs.1499.,0.0
TXN100066,EFC5D2DB,Low Spender,SBI,BigBasket,Grocery,2636.2,Net Banking,BOB,N/A,15,250,1999,True,250.0,9.4833,90,2024-10-05,2025-01-03,Flat 15% discount on BigBasket order via BOB Net Banking. Max benefit Rs.250. Min order Rs.1999.,9.9833
TXN100067,074192ED,High Spender,ICICI,Zomato,Food Delivery,465.31,Net Banking,HDFC,N/A,10,500,2999,False,0.0,0.0,60,2024-12-05,2025-02-03,Use your HDFC N/A card and earn 10% cashback capped at Rs.500. Applicable on Food Delivery orders over Rs.2999.,0.0
TXN100068,F5E4F73A,Low Spender,ICICI,Blinkit,Grocery,2648.19,Net Banking,ICICI,N/A,15,50,499,True,50.0,1.8881,60,2024-12-01,2025-01-30,Use your ICICI N/A card and earn 15% cashback capped at Rs.50. Applicable on Grocery orders over Rs.499.,2.3881
TXN100069,FD2B80B3,Occasional Buyer,SBI,MakeMyTrip,Travel,33192.16,UPI,PhonePe,N/A,12,250,4999,True,250.0,0.7532,90,2024-01-19,2024-04-18,Get flat 12% off with PhonePe UPI on MakeMyTrip. Maximum discount Rs.250. Valid on orders above Rs.4999.,1.2532
TXN100070,4157A871,High Spender,ICICI,Flipkart,Sports,9794.21,Credit Card,PNB,Mastercard,8,50,199,True,50.0,0.5105,30,2024-01-29,2024-02-28,Save up to Rs.50 with 8% cashback on Sports using PNB Credit Card. Minimum cart value Rs.199.,1.0105
TXN100071,EFCF22D2,High Spender,Axis,Swiggy,Food Delivery,867.07,Wallet,PhonePe,N/A,5,100,499,True,43.35,4.9996,7,2024-11-08,2024-11-15,Flat 5% discount on Swiggy order via PhonePe Wallet. Max benefit Rs.100. Min order Rs.499.,5.4996
TXN100072,F69D7FC6,Moderate Spender,Axis,IRCTC,Travel,13145.05,UPI,PNB,N/A,8,50,4999,True,50.0,0.3804,30,2024-12-12,2025-01-11,Use your PNB N/A card and earn 8% cashback capped at Rs.50. Applicable on Travel orders over Rs.4999.,0.8804
TXN100073,739BE50F,Occasional Buyer,SBI,IRCTC,Travel,32669.06,Net Banking,GPay,N/A,8,500,1499,True,500.0,1.5305,14,2024-07-15,2024-07-29,8% cashback for GPay N/A cardholders on Travel items at IRCTC. Cap Rs.500 Threshold Rs.1499.,2.0305
TXN100074,2FA8E28C,Moderate Spender,Axis,IRCTC,Travel,29590.97,UPI,HDFC,N/A,12,200,199,True,200.0,0.6759,90,2024-12-17,2025-03-17,12% cashback up to Rs.200 on Travel purchases using HDFC UPI. Min transaction Rs.199.,1.1759
TXN100075,69C708D3,Frequent Buyer,No Preference,Nykaa,Beauty,3945.98,Debit Card,Paytm,RuPay,7,150,1499,True,150.0,3.8013,14,2024-11-17,2024-12-01,Get flat 7% off with Paytm Debit Card on Nykaa. Maximum discount Rs.150. Valid on orders above Rs.1499.,4.3013
TXN100076,77D729D6,Low Spender,SBI,Nykaa,Beauty,3024.0,Debit Card,ICICI,RuPay,10,300,499,True,300.0,9.9206,14,2024-03-08,2024-03-22,ICICI Debit Card users get 10% back on Nykaa purchases in Beauty. Offer capped at Rs.300 min spend Rs.499.,10.4206
TXN100077,EA050B48,Frequent Buyer,SBI,Swiggy,Food Delivery,1383.97,Net Banking,Kotak,N/A,10,75,4999,False,0.0,0.0,7,2024-03-13,2024-03-20,Exclusive Kotak offer: 10% instant discount on Swiggy via Net Banking. Max savings Rs.75. Min purchase Rs.4999.,0.0
TXN100078,18958EE9,Occasional Buyer,Kotak,MakeMyTrip,Travel,39952.73,Credit Card,Kotak,Visa,15,250,1499,True,250.0,0.6257,90,2024-07-14,2024-10-12,Kotak Credit Card users get 15% back on MakeMyTrip purchases in Travel. Offer capped at Rs.250 min spend Rs.1499.,1.1257
TXN100079,05EA6DE0,Moderate Spender,Axis,Amazon,Home & Kitchen,18347.49,Debit Card,PhonePe,Visa,15,200,2999,True,200.0,1.0901,7,2024-03-12,2024-03-19,15% cashback up to Rs.200 on Home & Kitchen purchases using PhonePe Debit Card. Min transaction Rs.2999.,1.5901
TXN100080,137FE2E6,Low Spender,SBI,Nykaa,Beauty,756.8,Wallet,SBI,N/A,12,500,1999,False,0.0,0.0,90,2024-08-02,2024-10-31,Use your SBI N/A card and earn 12% cashback capped at Rs.500. Applicable on Beauty orders over Rs.1999.,0.0
TXN100081,C149523B,Occasional Buyer,No Preference,Flipkart,Sports,6348.7,UPI,HDFC,N/A,10,150,4999,True,150.0,2.3627,60,2024-04-30,2024-06-29,HDFC UPI users get 10% back on Flipkart purchases in Sports. Offer capped at Rs.150 min spend Rs.4999.,2.8627
TXN100082,7BB63266,High Spender,Kotak,MakeMyTrip,Travel,21110.7,Debit Card,ICICI,Amex,3,150,199,True,150.0,0.7105,7,2024-06-19,2024-06-26,Exclusive ICICI offer: 3% instant discount on MakeMyTrip via Debit Card. Max savings Rs.150. Min purchase Rs.199.,1.2105
TXN100083,D96657DA,Frequent Buyer,ICICI,Flipkart,Fashion,4897.87,Debit Card,IDFC,Mastercard,2,200,499,True,97.96,2.0001,14,2024-10-03,2024-10-17,Save up to Rs.200 with 2% cashback on Fashion using IDFC Debit Card. Minimum cart value Rs.499.,2.5001
TXN100084,20EDBA72,Moderate Spender,HDFC,Amazon,Books,120.8,Debit Card,Paytm,RuPay,2,100,1499,False,0.0,0.0,7,2024-03-05,2024-03-12,Flat 2% discount on Amazon order via Paytm Debit Card. Max benefit Rs.100. Min order Rs.1499.,0.0
TXN100085,BFECBC99,Low Spender,No Preference,Flipkart,Sports,4758.61,UPI,BOB,N/A,3,500,999,True,142.76,3.0,90,2024-01-23,2024-04-22,Save up to Rs.500 with 3% cashback on Sports using BOB UPI. Minimum cart value Rs.999.,3.5
TXN100086,A92B7ADA,Low Spender,HDFC,Nykaa,Beauty,2303.49,Credit Card,PNB,Amex,3,75,1999,True,69.1,2.9998,90,2024-03-16,2024-06-14,Get flat 3% off with PNB Credit Card on Nykaa. Maximum discount Rs.75. Valid on orders above Rs.1999.,3.4998
TXN100087,D96657DA,High Spender,Kotak,IRCTC,Travel,20283.41,Wallet,BOB,N/A,8,500,2999,True,500.0,2.4651,7,2024-12-25,2025-01-01,Get flat 8% off with BOB Wallet on IRCTC. Maximum discount Rs.500. Valid on orders above Rs.2999.,2.9651
TXN100088,A85742D4,Frequent Buyer,No Preference,Zomato,Food Delivery,759.6,Debit Card,Yes Bank,RuPay,15,300,2999,False,0.0,0.0,7,2024-06-09,2024-06-16,Flat 15% discount on Zomato order via Yes Bank Debit Card. Max benefit Rs.300. Min order Rs.2999.,0.0
TXN100089,228CC1BF,High Spender,SBI,Swiggy,Food Delivery,240.63,Credit Card,ICICI,Amex,3,250,499,False,0.0,0.0,90,2024-01-31,2024-04-30,ICICI Credit Card users get 3% back on Swiggy purchases in Food Delivery. Offer capped at Rs.250 min spend Rs.499.,0.0
TXN100090,7B01E641,Low Spender,Axis,MakeMyTrip,Travel,43668.42,Credit Card,Kotak,RuPay,10,75,999,True,75.0,0.1717,14,2024-12-02,2024-12-16,10% cashback for Kotak RuPay cardholders on Travel items at MakeMyTrip. Cap Rs.75 Threshold Rs.999.,0.6717
TXN100091,2FEBE083,Low Spender,SBI,Blinkit,Grocery,610.19,UPI,Paytm,N/A,7,300,199,True,42.71,6.9995,90,2024-12-02,2025-03-02,Save up to Rs.300 with 7% cashback on Grocery using Paytm UPI. Minimum cart value Rs.199.,7.4995
TXN100092,A00F1373,Moderate Spender,SBI,BigBasket,Grocery,1247.76,Debit Card,SBI,Amex,3,100,199,True,37.43,2.9998,7,2024-09-28,2024-10-05,Exclusive SBI offer: 3% instant discount on BigBasket via Debit Card. Max savings Rs.100. Min purchase Rs.199.,3.4998
TXN100093,D3BC45A6,Occasional Buyer,Axis,MakeMyTrip,Travel,19762.55,UPI,Paytm,N/A,3,50,499,True,50.0,0.253,14,2024-11-12,2024-11-26,3% cashback up to Rs.50 on Travel purchases using Paytm UPI. Min transaction Rs.499.,0.753
TXN100094,EC63EB41,Low Spender,SBI,Nykaa,Beauty,2582.61,Net Banking,Yes Bank,N/A,8,150,299,True,150.0,5.8081,30,2024-08-08,2024-09-07,Get flat 8% off with Yes Bank Net Banking on Nykaa. Maximum discount Rs.150. Valid on orders above Rs.299.,6.3081
